Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs
26,indian cinema,ashish rajadhyaksha,Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,Film Cinema Broadcast Photography Arts,Kindle Edition,4.2,22.0,https://www.amazon.in/Indian-Cinema-Short-Introduction-Introductions-ebook/dp/B01GGF2FKU/ref=zg_bs_g_1318054031_d_sccl_27/000-0000000-0000000?psc=1
6510,destruction of babri masjid – national dishonour,a. noorani,Destruction of the Babri Masjid – A National Dishonour,A. Noorani,Society Ethnography Sciences Social,Hardcover,4.6,22.0,https://www.amazon.in/Destruction-Babri-Masjid-National-Dishonour/dp/9382381473/ref=zg_bs_g_26437177031_d_sccl_7/000-0000000-0000000?psc=1
6843,shorin,emanuel giordano,Shorin-ryu Karate : The legacy of the bodyguards of the king of Okinawa (Encyclopedia of Shorin-ryu Karate Book 1),Emanuel Giordano,Sports Self-Defence Combat,Kindle Edition,4.2,22.0,https://www.amazon.in/Shorin-ryu-Karate-bodyguards-Okinawa-Encyclopedia-ebook/dp/B07P5MZC4H/ref=zg_bs_g_1318240031_d_sccl_20/000-0000000-0000000?psc=1
41,mahanati savitri,pallavi rg,Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,Film Cinema Broadcast Photography Arts,Hardcover,4.5,22.0,https://www.amazon.in/Mahanati-savitri-venditera-samragni/dp/B00ZU57BU2/ref=zg_bs_g_1318054031_d_sccl_12/000-0000000-0000000?psc=1
2398,30 meal plans,archana doshi,30 Meal Plans: Easy Vegetarian Indian Recipes for Good Health,Archana Doshi,Lifestyle Home Drink Crafts Entertaining Food,Paperback,4.2,22.0,https://www.amazon.in/Meal-Plans-Archanas-Kitchen-Vegetarian/dp/9394407685/ref=zg_bs_g_1318120031_d_sccl_19/000-0000000-0000000?psc=1
2741,basic electronics,chinmoy saha,BASIC ELECTRONICS: PRINCIPLES AND APPLICATION,Chinmoy Saha,Electronic Engineering Electrical,Paperback,4.2,22.0,https://www.amazon.in/Basic-Electronics-Applications-Chinmoy-Saha/dp/1316632938/ref=zg_bs_g_4149474031_d_sccl_12/000-0000000-0000000?psc=1
2438,,elliot roe,"A-Game Poker: Master The Mental Game, Create A Winning Mindset, & Dominate The Modern Poker Game",Elliot Roe,Quizzes Games Lifestyle Home Crafts,Kindle Edition,4.3,21.0,https://www.amazon.in/Game-Poker-Winning-Mindset-Dominate-ebook/dp/B0CQ6FN391/ref=zg_bs_g_1318121031_d_sccl_9/000-0000000-0000000?psc=1
4105,do face masks really work?,dr. kamalpreet singh,Do Face Masks Really Work? : An Introduction to the New World Order,Dr. Kamalpreet Singh,Sciences Health Research Medicine,Paperback,4.6,21.0,https://www.amazon.in/Face-Masks-Really-Work-Introduction/dp/B0BSR5168C/ref=zg_bs_g_4149699031_d_sccl_6/000-0000000-0000000?psc=1
5347,தகிக்கும் துருவ நட்சத்திரம் (tamil ),geetz mukhil முகில்கீத்ஸ்,தகிக்கும் துருவ நட்சத்திரம் (Tamil Edition),முகில்கீத்ஸ் Mukhil Geetz,Life Romance in Later,Kindle Edition,4.5,21.0,https://www.amazon.in/%E0%AE%A4%E0%AE%95%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%81%E0%AE%B5-%E0%AE%A8%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AF%80%E0%AE%A4%E0%AF%8D%E0%AE%B8%E0%AF%8D-Mukhil-ebook/dp/B0CVM2CCWJ/ref=zg_bs_g_89265414031_d_sccl_1/000-0000000-0000000?psc=1
2640,skin,b. mcintyre samuel,Skin-Boosting Facial Serums: Natural Oil Blends for Quick and Glowing Skin,Samuel B. McIntyre,Style Lifestyle Home Personal Crafts Guides,Kindle Edition,4.1,21.0,https://www.amazon.in/Skin-Boosting-Facial-Serums-Natural-Glowing-ebook/dp/B08QJ54XL8/ref=zg_bs_g_1318125031_d_sccl_11/000-0000000-0000000?psc=1
